RuleFit-Bin Results  (467 XGBoost-bin features: 126 ctx + 341 diff)
Accuracy: 0.5884  |  Weighted Acc: 0.6440  |  F1: 0.4359  |  AUC: 0.7614
Non-zero terms: 495  (52 rules, 443 linear terms)

Rank  Type           Coef   Importance   Support  Rule
------------------------------------------------------------------------------------------------------------------------
1     linear      +0.1378       0.0759     1.000  diff_2220_'this'
2     linear      +0.1078       0.0698     1.000  diff_11052_How to write clickbait titles
3     linear      +0.1130       0.0684     1.000  diff_1730_remarkable and amazing qualities
4     linear      +0.1020       0.0671     1.000  diff_433
5     linear      -0.1153       0.0611     1.000  diff_9410_subtitles
6     linear      +0.1168       0.0607     1.000  diff_1531_discovery and revelation
7     linear      +0.1093       0.0593     1.000  diff_2223_past actions or events
8     linear      +0.1008       0.0569     1.000  diff_1847_shocking or horrifying scenarios
9     linear      +0.0793       0.0562     1.000  diff_604_harmful unethical behavior
10    linear      +0.0916       0.0560     1.000  diff_1170_math and trick questions
11    linear      +0.0934       0.0545     1.000  diff_2203_stereotypes about gender roles
12    linear      +0.1482       0.0533     1.000  diff_11979_sexual and explicit themes
13    linear      +0.0907       0.0525     1.000  diff_5439_offensive content
14    linear      -0.0742       0.0523     1.000  diff_70
15    linear      +0.1025       0.0522     1.000  diff_2161_female names and women
16    linear      -0.1031       0.0510     1.000  diff_507
17    linear      -0.1020       0.0506     1.000  diff_12614_regex questions and explanations
18    linear      -0.1037       0.0491     1.000  diff_675_subject line greetings
19    linear      -0.1008       0.0484     1.000  ctx_3430_possessive pronouns and associated concepts
20    linear      -0.1182       0.0476     1.000  diff_2517_Rukarara River, cerebrex
21    linear      -0.0871       0.0473     1.000  diff_3844_genre and theme descriptions
22    linear      -0.0843       0.0465     1.000  diff_538_regulation, risk, and governance
23    linear      +0.1643       0.0463     1.000  diff_2007_numerical time durations
24    linear      -0.1316       0.0462     1.000  diff_6294_selfless efforts and contributions
25    linear      +0.0601       0.0461     1.000  diff_49_positive evaluations
26    linear      -0.0703       0.0456     1.000  diff_444_values, feelings, judgments
27    linear      +0.0702       0.0453     1.000  diff_627
28    linear      -0.0819       0.0451     1.000  diff_1923
29    linear      +0.0659       0.0447     1.000  diff_1398
30    linear      +0.1336       0.0447     1.000  diff_6843_introduced person or concept
31    linear      +0.0872       0.0444     1.000  diff_1216_exile and punishment
32    linear      -0.0643       0.0444     1.000  diff_594_Doubleday history
33    linear      +0.0849       0.0440     1.000  diff_486_superlatives - most, best
34    linear      +0.1414       0.0432     1.000  diff_16115_top n lists
35    linear      -0.0606       0.0417     1.000  diff_459
36    linear      -0.0807       0.0416     1.000  diff_929_describing states or qualities
37    linear      -0.0802       0.0413     1.000  diff_11566_analogy
38    linear      +0.1594       0.0412     1.000  diff_9012_time durations and speed
39    linear      -0.0672       0.0403     1.000  diff_1386
40    linear      +0.0686       0.0401     1.000  diff_2497
41    linear      -0.0565       0.0401     1.000  diff_1097_related terms and names
42    linear      +0.0611       0.0398     1.000  diff_560_file extensions
43    linear      +0.0687       0.0396     1.000  diff_543_text descriptions and examples
44    linear      +0.0696       0.0396     1.000  diff_984_contemptuous questions and statements
45    linear      +0.0974       0.0394     1.000  diff_3759_evil AI, monsters
46    linear      -0.0817       0.0391     1.000  diff_1489_pld
47    linear      +0.0669       0.0381     1.000  diff_2193_tragic and horrific events
48    rule        -0.1441       0.0374     0.073  diff_5200_recognizing or noticing <= -0.5
49    linear      +0.0917       0.0368     1.000  diff_8807_how to respond
50    linear      +0.0783       0.0367     1.000  diff_1060_Majesty, Highness, Excellency, Holiness
51    linear      +0.0687       0.0365     1.000  diff_42_physical gestures and actions
52    linear      +0.0667       0.0365     1.000  diff_2062_counting or listing items/entities
53    linear      -0.0480       0.0364     1.000  diff_1_analyzing and processing information
54    linear      -0.0896       0.0363     1.000  diff_1199_indicating an example or illustration
55    linear      +0.0721       0.0359     1.000  diff_2390_images
56    rule        -0.1329       0.0359     0.079  diff_1249 <= 0.5 and diff_8754_concise, efficient, appealing, versatile, quieter <= -0.5 and diff_16006_DO NOT <= 0.5
57    linear      +0.0864       0.0355     1.000  diff_1526_I think, I want, you look
58    linear      -0.0765       0.0355     1.000  diff_1006_machine learning
59    linear      -0.0967       0.0354     1.000  diff_6317_hope, optimism, and hopelessness
60    linear      +0.0710       0.0353     1.000  diff_1070_seeing and observing
61    linear      -0.0538       0.0353     1.000  diff_258
62    linear      +0.0677       0.0347     1.000  diff_3142_asking about who
63    linear      -0.0714       0.0345     1.000  diff_2281_solving and alleviating
64    linear      -0.0676       0.0343     1.000  diff_404
65    linear      +0.0856       0.0342     1.000  diff_10871_boy or girl
66    linear      -0.0521       0.0342     1.000  diff_606
67    linear      -0.0528       0.0341     1.000  diff_1229_enjoyment and pleasure
68    linear      +0.1084       0.0340     1.000  diff_10826_lack of knowledge and understanding
69    linear      -0.0586       0.0340     1.000  diff_742_news publications and blog posts
70    linear      +0.0549       0.0338     1.000  diff_8878_things or anything
71    linear      -0.0531       0.0337     1.000  diff_1804
72    linear      -0.0652       0.0337     1.000  diff_160_quickly rose through ranks
73    linear      +0.0486       0.0337     1.000  diff_2892_instructions or problem context
74    linear      +0.0447       0.0334     1.000  diff_2400_hypothetical scenarios
75    linear      +0.0756       0.0334     1.000  diff_5609_bigotry, prejudice, and abuse
76    linear      +0.1242       0.0333     1.000  diff_7346_grab attention / appeal to senses
77    linear      -0.0404       0.0333     1.000  diff_1033_conversational prompts
78    linear      +0.0763       0.0332     1.000  diff_819_time units before temporal markers
79    linear      -0.0543       0.0331     1.000  diff_391_i am a / i'm a
80    linear      +0.0754       0.0328     1.000  diff_1865
81    linear      +0.0728       0.0327     1.000  ctx_923
82    linear      +0.0480       0.0326     1.000  diff_1293
83    linear      -0.0697       0.0325     1.000  diff_1321_support and encouragement
84    linear      +0.0589       0.0324     1.000  diff_224
85    linear      -0.0505       0.0318     1.000  diff_7926_specific noun phrases
86    linear      +0.0506       0.0317     1.000  diff_1115_describing people or animals
87    linear      +0.0631       0.0316     1.000  ctx_296
88    linear      +0.0780       0.0315     1.000  diff_11774_negative medical outcomes
89    linear      +0.0496       0.0314     1.000  diff_166_struggle for human connection
90    linear      +0.0374       0.0313     1.000  diff_351
91    linear      -0.0447       0.0312     1.000  diff_726_foreign language text
92    linear      -0.0582       0.0308     1.000  diff_7_programming methodologies and techniques
93    linear      -0.0530       0.0307     1.000  diff_61
94    linear      +0.0511       0.0305     1.000  diff_3083_in format or style
95    linear      -0.0457       0.0304     1.000  diff_296
96    linear      +0.0558       0.0304     1.000  diff_1065_potential damage and dangers
97    linear      +0.0577       0.0304     1.000  diff_390
98    linear      +0.0513       0.0300     1.000  diff_1032_scenes and vehicles
