RuleFit-Bin Results  (467 XGBoost-bin features: 126 ctx + 341 diff)
Accuracy: 0.5843  |  Weighted Acc: 0.6402  |  F1: 0.4357  |  AUC: 0.7578
Non-zero terms: 782  (315 rules, 467 linear terms)

Rank  Type           Coef   Importance   Support  Rule
------------------------------------------------------------------------------------------------------------------------
1     linear      +0.1599       0.1002     1.000  diff_1115_describing people or animals
2     rule        +0.2295       0.0848     0.163  diff_1631_pronouns followed by verbs > -0.5 and diff_11052_How to write clickbait titles > 0.5
3     linear      +0.1405       0.0773     1.000  diff_2220_'this'
4     rule        -0.1595       0.0709     0.271  diff_926_they <= -0.5 and diff_4053_joke, humor, comedy <= 0.5
5     linear      +0.1156       0.0700     1.000  diff_1730_remarkable and amazing qualities
6     linear      -0.1014       0.0691     1.000  diff_12139_questions and technical topics
7     linear      +0.1049       0.0690     1.000  diff_433_problem, issue
8     rule        -0.1560       0.0659     0.233  diff_12139_questions and technical topics <= -0.5
9     linear      +0.1192       0.0647     1.000  diff_2223_past actions or events
10    linear      -0.1118       0.0592     1.000  diff_9410_subtitles
11    rule        -0.1519       0.0590     0.185  diff_1389_past events <= -0.5
12    linear      +0.1018       0.0575     1.000  diff_1847_shocking or horrifying scenarios
13    rule        +0.1531       0.0567     0.164  diff_543_text descriptions and examples > 0.5
14    linear      +0.0800       0.0567     1.000  diff_604_harmful unethical behavior
15    linear      +0.0958       0.0559     1.000  diff_2203_stereotypes about gender roles
16    linear      +0.1535       0.0552     1.000  diff_11979_sexual and explicit themes
17    linear      -0.1074       0.0533     1.000  diff_12614_questions and explanations
18    linear      -0.0753       0.0531     1.000  diff_70
19    linear      +0.1037       0.0528     1.000  diff_2161_female names and women
20    rule        -0.1424       0.0517     0.156  diff_4053_joke, humor, comedy > -0.5 and diff_8878_things or anything <= -0.5
21    linear      +0.1978       0.0512     1.000  diff_9012_time durations and speed
22    linear      -0.1035       0.0512     1.000  diff_507_is/are
23    linear      -0.1058       0.0508     1.000  ctx_3430_possessive pronouns and associated concepts
24    rule        +0.1406       0.0507     0.154  diff_538_regulation, risk, and governance <= -0.5
25    linear      -0.1597       0.0505     1.000  diff_2029_strategic initiatives
26    linear      -0.0772       0.0501     1.000  diff_444_values, feelings, judgments
27    linear      +0.0866       0.0493     1.000  diff_984_contemptuous questions and statements
28    linear      -0.0888       0.0482     1.000  diff_3844_genre and theme descriptions
29    linear      -0.1014       0.0481     1.000  diff_675_subject line greetings
30    rule        +0.1065       0.0479     0.281  diff_2400_hypothetical scenarios > 0.5
31    linear      +0.0736       0.0475     1.000  diff_627
32    rule        +0.1071       0.0471     0.263  diff_746 <= -0.5
33    linear      -0.0849       0.0468     1.000  diff_1923
34    linear      -0.1322       0.0464     1.000  diff_6294_selfless efforts and contributions
35    rule        -0.1429       0.0459     0.117  diff_538_regulation, risk, and governance > 0.5 and diff_1389_past events > -0.5
36    linear      -0.0890       0.0458     1.000  diff_11566_analogy
